SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6333 W Fitch Ave,Chicago,IL,60646,369000,3,2.0,Edgebrook,1205,5288,1954,1,306,,Active,,,https://www.redfin.com/IL/Chicago/6333-W-Fitch-Ave-60646/home/13593671,MRED,11644725,N,Y,42.0108469,-87.7856715
MLS Listing,,Single Family Residential,10456 S Bell Ave,Chicago,IL,60643,639900,4,3.0,CHI - Beverly,2904,6159,1929,1,220,,Active,,,https://www.redfin.com/IL/Chicago/10456-S-Bell-Ave-60643/home/13072901,MRED,11644711,N,Y,41.7029547,-87.6781652
MLS Listing,,Condo/Co-op,7425 N Ridge Blvd Unit 2G,Chicago,IL,60645,175000,2,1.0,CHI - Rogers Park,1100,,1965,1,159,340,Active,,,https://www.redfin.com/IL/Chicago/7425-N-Ridge-Blvd-60645/unit-2G/home/182118676,MRED,11644709,N,Y,42.0168283,-87.6838951
MLS Listing,,Single Family Residential,3517 W 72nd Pl,Chicago,IL,60629,219000,3,1.0,CHI - Chicago Lawn,3750,3750,1954,1,58,,Active,,,https://www.redfin.com/IL/Chicago/3517-W-72nd-Pl-60629/home/13984257,MRED,11644706,N,Y,41.761338,-87.7108152
MLS Listing,,Multi-Family (2-4 Unit),,Chicago,IL,60641,494000,9,3.0,CHI - Portage Park,,,,1,,,Active,,,https://www.redfin.com/IL/Chicago/Undisclosed-address-60641/home/13461198,MRED,11644708,N,Y,41.943447,-87.7575933
MLS Listing,,Condo/Co-op,3417 N Wolcott Ave #1,Chicago,IL,60657,319000,2,1.0,CHI - North Center,,,,1,,248,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/3417-N-Wolcott-Ave-60657/unit-1/home/12617865,MRED,11644692,N,Y,41.9439031,-87.6758314
MLS Listing,,Condo/Co-op,2221 W Arthur Ave #3,Chicago,IL,60645,74900,1,1.0,CHI - West Ridge,,,1928,1,,393,Active,,,https://www.redfin.com/IL/Chicago/2221-W-Arthur-Ave-60645/unit-3/home/13570095,MRED,11644680,N,Y,41.9993155,-87.6860636
MLS Listing,,Condo/Co-op,6301 N Sheridan Rd Unit 22K,Chicago,IL,60660,169900,1,1.5,CHI - Edgewater,950,,1963,1,179,735,Active,,,https://www.redfin.com/IL/Chicago/6301-N-Sheridan-Rd-60660/unit-22K/home/13412358,MRED,11644682,N,Y,41.9967345,-87.6550688
MLS Listing,,Condo/Co-op,260 E Chestnut St #1210,Chicago,IL,60611,364900,1,1.0,Plaza on DeWitt,850,,1965,1,429,745,Active,,,https://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-1210/home/14118105,MRED,11644679,N,Y,41.8986644,-87.6196021
MLS Listing,,Condo/Co-op,2772 E 75th St Unit N2G,Chicago,IL,60649,149000,2,2.0,CHI - South Shore,1100,,1964,1,135,365,Active,,,https://www.redfin.com/IL/Chicago/2772-E-75th-St-60649/unit-N2G/home/178529204,MRED,11644671,N,Y,41.7612463,-87.5563955
MLS Listing,,Condo/Co-op,5236 N Kenmore Ave Unit 3S,Chicago,IL,60640,610000,3,2.0,CHI - Edgewater,1600,,2018,1,381,169,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/5236-N-Kenmore-Ave-60640/unit-3S/home/113108164,MRED,11644672,N,Y,41.9774917,-87.6568286
MLS Listing,,Condo/Co-op,1209 N Astor St Unit 6S,Chicago,IL,60610,850000,3,3.0,CHI - Near North Side,2450,,1926,1,347,4630,Active,,,https://www.redfin.com/IL/Chicago/1209-N-Astor-St-60610/unit-6S/home/41393158,MRED,11644670,N,Y,41.9044896,-87.6267156
MLS Listing,,Condo/Co-op,1601 S State St Unit 6F,Chicago,IL,60616,269900,1,1.5,CHI - Near South Side,1000,,2004,1,270,421,Active,,,https://www.redfin.com/IL/Chicago/1601-S-State-St-60616/unit-6F/home/177528755,MRED,11644653,N,Y,41.8599299,-87.6268884
